"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"HMST","Homestreet, Inc...","870","amc","0.42","--","9.52%","--",""
"BSRR","Sierra Bancorp","422","--","0.42","--","2.38%","--",""
"HAL","Halliburton Com...","46,367","bmo","0.46","--","2.17%","--",""
"WTFC","Wintrust Financ...","4,893","amc","1.14","--","0.88%","--",""
"BOH","Bank Of Hawaii...","3,764","bmo","1.09","--","-1.83%","--",""
"STLD","Steel Dynamics,...","11,139","amc","0.53","--","-1.96%","--",""
"NFLX","Netflix, Inc.","95,733","amc","0.41","--","-4.88%","--",""
"AMTD","Td Ameritrade H...","30,913","amc","0.50","--","NA","--",""
"BMRC","Bank Of Marin B...","440","--","0.86","--","NA","--",""
"BRO","Brown & Brown,...","7,308","amc","0.42","--","NA","--",""
"CBU","Community Bank...","2,815","bmo","0.69","--","NA","--",""
"EFSC","Enterprise Fina...","1,090","amc","0.76","--","NA","--",""
"FDEF","First Defiance...","546","amc","0.89","--","NA","--",""
"FULT","Fulton Financia...","3,292","amc","0.28","--","NA","--",""
"JJSF","J & J Snack Foo...","2,735","--","0.78","--","NA","--",""
"LOGI","Logitech Intern...","5,793","amc","0.56","--","NA","--",""
"MRCY","Mercury Systems...","2,483","--","0.30","--","NA","--",""
"NBTB","Nbt Bancorp Inc...","1,661","amc","0.53","--","NA","--",""
"NWBI","Northwest Bancs...","1,741","--","0.21","--","NA","--",""
"OPB","Opus Bank","1,001","bmo","0.40","--","NA","--",""
"PETS","Petmed Express,...","1,091","--","0.36","--","NA","--",""
"PRK","Park National C...","1,650","--","1.51","--","NA","--",""
"RMD","Resmed Inc.","12,456","amc","0.78","--","NA","--",""
"SFBS","Servisfirst Ban...","2,194","amc","0.30","--","NA","--",""
"SFNC","Simmons First N...","2,735","amc","0.90","--","NA","--",""
"TBK","Triumph Bancorp...","738","--","0.46","--","NA","--",""
"WWD","Woodward, Inc.","5,109","amc","0.59","--","NA","--",""
"ZION","Zions Bancorpor...","10,642","amc","0.73","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"UMPQ","Umpqua Holdings...","4,933","amc","0.30","--","16.67%","--",""
"ATI","Allegheny Techn...","3,124","bmo","0.14","--","14.29%","--",""
"JHG","Janus Capital G...","8,124","--","0.65","--","3.08%","--",""
"NAVI","Navient Corpora...","3,651","amc","0.42","--","2.38%","--",""
"HBCP","Home Bancorp, I...","324","--","0.63","--","1.59%","--",""
"WBS","Webster Financi...","5,904","bmo","0.67","--","1.49%","--",""
"SNV","Synovus Financi...","6,090","bmo","0.68","--","1.47%","--",""
"KMB","Kimberly-clark...","39,742","bmo","1.55","--","1.29%","--",""
"PG","Procter & Gambl...","227,337","bmo","1.15","--","0.88%","--",""
"WAT","Waters Corporat...","16,682","bmo","2.44","--","0.82%","--",""
"JNJ","Johnson & Johns...","391,587","bmo","1.72","--","0.58%","--",""
"SSB","South State Cor...","3,358","bmo","1.19","--","-0.84%","--",""
"CNI","Canadian Nation...","60,404","amc","0.97","--","-1.03%","--",""
"PEBO","Peoples Bancorp...","630","bmo","0.48","--","-4.17%","--",""
"UMBF","Umb Financial C...","3,794","amc","0.89","--","-7.87%","--",""
"TRV","The Travelers C...","36,875","bmo","1.69","--","-12.43%","--",""
"ACFC","Atlantic Coast...","161","--","0.08","--","NA","--",""
"ARAY","Accuray Incorpo...","424","amc","-0.11","--","NA","--",""
"BKU","Bankunited, Inc...","4,613","bmo","0.62","--","NA","--",""
"BPOP","Popular, Inc.","3,941","bmo","0.73","--","NA","--",""
"BPRN","The Bank Of Pri...","197","--","0.27","--","NA","--",""
"CHFC","Chemical Financ...","4,005","amc","0.83","--","NA","--",""
"COF","Capital One Fin...","51,107","amc","1.85","--","NA","--",""
"CREE","Cree, Inc.","3,615","amc","0.01","--","NA","--",""
"CWBK","Commercewest Ba...","91","--","0.35","--","NA","--",""
"DNBF","Dnb Financial C...","149","--","0.53","--","NA","--",""
"EBSB","Meridian Bancor...","1,152","--","0.24","--","NA","--",""
"EDU","New Oriental Ed...","16,545","bmo","0.16","--","NA","--",""
"EXP","Eagle Materials...","5,838","--","1.43","--","NA","--",""
"FBC","Flagstar Bancor...","2,216","bmo","0.54","--","NA","--",""
"FCB","Fcb Financial H...","2,446","amc","0.74","--","NA","--",""
"FCF","First Commonwea...","1,471","amc","0.15","--","NA","--",""
"FITB","Fifth Third Ban...","22,826","bmo","0.47","--","NA","--",""
"FNB","F.n.b. Corporat...","4,685","bmo","0.24","--","NA","--",""
"GSBC","Great Southern...","736","amc","0.82","--","NA","--",""
"HAFC","Hanmi Financial...","1,035","amc","0.48","--","NA","--",""
