"AbbVie Inc.","ABBV","20180126","8","3647691.25","1.43","160185.78","YES","","3","ABBV","Abbvie Inc.","160,186","bmo","1.43","--","NA","--","",
"Ameris Bancorp","ABCB","20180126","3","247788.09",".63","1988.14","YES","","2","ABCB","Ameris Bancorp","1,988","bmo","0.63","--","NA","--","",
"Abbott Laboratories","ABT","20180124","10","5826466",".73","102416.96","YES","","3","ABT","Abbott Laborato...","102,417","bmo","0.73","--","NA","--","",
"Adient PLC","ADNT","20180129","5","691859.63","1.88","7698.44","YES","6.38","3","ADNT","Adient Plc","7,698","bmo","1.88","--","6.38%","--","",
"Alliance Data Systems Corporation","ADS","20180125","14","473177.34","5.01","15269.17","YES","-2.53","3","ADS","Alliance Data S...","15,269","bmo","5.01","--","-2.53%","--","",
"Arthur J. Gallagher & Co.","AJG","20180125","9","994415.88",".75","11549.44","YES","-2.67","2","AJG","Arthur J. Galla...","11,549","--","0.75","--","-2.67%","--","",
"TD Ameritrade Holding Corporation","AMTD","20180122","7","2329682.5",".5","30913.49","YES","0","1","AMTD","Td Ameritrade H...","30,913","amc","0.50","--","NA","--","",
"Amphenol Corporation","APH","20180124","7","967352.69",".81","28039.28","YES","2.47","2","APH","Amphenol Corpor...","28,039","bmo","0.81","--","2.47%","--","",
"Associated Banc-Corp","ASB","20180125","10","857769.13",".38","4013.43","YES","2.63","1","ASB","Associated Banc...","4,013","amc","0.38","--","2.63%","--","",
"Ashland Global Holdings Inc.","ASH","20180125","4","417823.81",".47","4612.12","YES","","5","ASH","Ashland Global...","4,612","--","0.47","--","NA","--","",
"Allegheny Technologies Incorporated","ATI","20180123","5","1690715.38",".14","3124.37","YES","14.29","4","ATI","Allegheny Techn...","3,124","bmo","0.14","--","14.29%","--","",
"Banner Corporation","BANR","20180124","3","125036.15",".81","1916.85","YES","-8.64","2","BANR","Banner Corporat...","1,917","amc","0.81","--","-8.64%","--","",
