Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Agilent Technologies, Inc.","A","20180213","9","1466888.75",".63","23170.08","YES","","3"
"Alcoa Corp.","AA","20180117","6","3662878.75","1.23","10501.91","YES","-20.33","3"
"Altaba Inc.","AABA","20180122","6","8570190",".16","66245.72","YES","",""
"American Airlines Group, Inc.","AAL","20180126","9","4091193.5",".83","27977.84","YES","2.41","3"
"Aaron's,  Inc.","AAN","20180216","7","758417.25",".54","2910.4","YES","-3.7","2"
"Applied Optoelectronics, Inc.","AAOI","20180222","7","1064262.13",".82","694.84","YES","-2.67","4"
"Advance Auto Parts Inc","AAP","20180220","10","1162055.13",".65","8567.73","YES","1.54","3"
"Apple Inc.","AAPL","20180201","10","22045408","3.75","900866.75","YES","","3"
"American Assets Trust, Inc.","AAT","20180213","4","177290.66",".54","1698.49","YES","0","5"
"Atlas Air Worldwide Holdings","AAWW","20180222","4","239459.09","2.08","1568.81","YES","3.85","2"
"TASER International, Inc.","AAXN","20180227","3","437198.06","-.03","1458.28","YES","","5"
"ABAXIS, Inc.","ABAX","20180125","4","168233.75",".27","1417.2","YES","14.81","3"
"AbbVie Inc.","ABBV","20180126","8","3647691.25","1.43","160185.78","YES","","3"
"AmerisourceBergen Corporation (Holding Co)","ABC","20180206","9","1314513.25","1.35","21590.12","YES","0","3"
"Ameris Bancorp","ABCB","20180126","3","247788.09",".63","1988.14","YES","","2"
"Alcentra Capital Corp.","ABDC","20180308","4","111310.9",".25","126.5","YES","",""
"Abeona Therapeutics Inc.","ABEO","20180330","3","745486.81","-.13","734.37","YES","","3"
"Asbury Automotive Group Inc","ABG","20180206","7","277156.84","1.6","1567.6","YES","0","3"
"ABIOMED, Inc.","ABMD","20180201","7","202602.3",".5","9511.3","YES","","2"
"Abbott Laboratories","ABT","20180124","10","5826466",".73","102416.96","YES","","3"
"Arbutus Biopharma Corporation","ABUS","20180320","4","235864.16","-.38","280.77","YES","0","3"
"Barrick Gold Corporation","ABX","20180221","6","7872594.5",".22","17633.9","YES","13.64","2"
"ACADIA Pharmaceuticals Inc.","ACAD","20180227","6","1562578.75","-.58","3523.72","YES","","3"
"Atlantic Capital Bancshares, Inc.","ACBI","20180129","3","104731.5",".16","464.39","NO","","2"
"American Campus Communities Inc","ACC","20180220","6","871730.88",".71","5313.79","YES","0","4"
"Acco Brands Corporation","ACCO","20180214","3","314144.69",".44","1363.85","YES","","2"
"Arch Capital Group Ltd.","ACGL","20180212","6","431277.91","1.16","11868.96","YES","-3.45","3"
"Acadia Healthcare Company, Inc.","ACHC","20180222","9","1157117.63",".55","3042.38","YES","","4"
"Achillion Pharmaceuticals, Inc.","ACHN","20180222","3","2774814.5","-.15","412.2","YES","","3"
"Acacia Communications, Inc.","ACIA","20180222","8","319712.56",".25","1562.87","YES","","5"
"ACI Worldwide, Inc.","ACIW","20180301","4","513517.41",".45","2774.75","YES","","3"
"Axcelis Technologies, Inc.","ACLS","20180207","3","363511.16",".39","915.69","YES","","3"
"AECOM","ACM","20180206","5","660343.94",".55","6158.37","YES","","3"
"Accenture PLC","ACN","20180322","14","2048297.25","1.66","101714.37","YES","0","3"
"Acorda Therapeutics, Inc.","ACOR","20180213","5","535133.13","1.17","1208.41","YES","-23.71","4"
"Ares Commercial Real Estate Corporation","ACRE","20180306","3","113543.25",".25","368.53","YES","-12","2"
"Aclaris Therapeutics, Inc.","ACRS","20180321","3","396050.34","-.9","770.88","YES","","4"
"Acxiom Corporation","ACXM","20180130","3","315734.81",".24","2230.26","YES","","4"
"Adaptimmune Therapeutics PLC","ADAP","20180312","5","231355.3","-.25","731.7","YES","","3"
"Adobe Systems Incorporated","ADBE","20180315","13","2185997.25","1.15","96148.53","YES","0","3"
"Agree Realty Corporation","ADC","20180222","8","228221.84",".69","1430.71","YES","0","3"
"Adidas AG","ADDYY","20180314","4","60740.1",".05","41482.55","NO","40","2"
"Analog Devices, Inc.","ADI","20180221","12","2009564.75","1.38","33921.88","YES","0","1"
"Archer-Daniels-Midland Company","ADM","20180206","6","2831410.5",".71","22649.63","YES","-4.23","5"
"Adamas Pharmaceuticals, Inc.","ADMS","20180227","4","711533.56","-1.15","810.48","YES","","3"
"Adient PLC","ADNT","20180129","5","691859.63","1.88","7698.44","YES","6.38","3"
"Automatic Data Processing, Inc.","ADP","20180131","10","1496553.38",".89","52540.26","YES","","2"
"Aduro Biotech, Inc.","ADRO","20180307","5","411173.09","-.36","552.72","YES","","3"
"Alliance Data Systems Corporation","ADS","20180125","14","473177.34","5.01","15269.17","YES","-2.53","3"
"Autodesk, Inc.","ADSK","20180301","12","1790047","-.13","25531.15","YES","3.03","3"
"Advanced Disposal Services Inc.","ADSW","20180222","4","390667.09",".13","2138.83","NO","-7.69","4"
"Advaxis, Inc.","ADXS","20180309","3","951988.19","-.55","122.26","YES","0",""
"Aegion Corp","AEGN","20180227","3","156400.66",".23","856.76","YES","","3"
"Advanced Energy Industries, Inc.","AEIS","20180129","4","388460.25","1.21","2824.77","YES","0","3"
"American Equity Investment Life Holding Company","AEL","20180207","4","535033.25",".67","3026.58","YES","2.99","1"
"Agnico Eagle Mines Limited","AEM","20180221","4","1002230.88",".21","10941.92","YES","0","2"
"American Eagle Outfitters, Inc.","AEO","20180307","11","4410300.5",".38","3251.83","YES","2.27","1"
"American Electric Power Company, Inc.","AEP","20180125","5","2631098",".79","33182.56","YES","-1.27","3"
"Aercap Holdings N.V.","AER","20180220","5","897232.38","1.36","8569.21","YES","","5"
"The AES Corporation","AES","20180226","3","6422341",".32","7290.67","YES","","5"
"Aetna Inc.","AET","20180130","9","2387410","1.18","60080.88","YES","","3"
"Almost Family Inc","AFAM","20180306","5","234371.66",".58","808.75","YES","1.72","4"
"Aflac Incorporated","AFL","20180131","7","1526376.88","1.55","33394.16","YES",".65","2"
"Affimed N.V.","AFMD","20180329","4","259504.91","-.17","58.07","YES","","3"
"AmTrust Financial Services, Inc.","AFSI","20180226","3","1993855",".24","2550.31","YES","-16.67","2"
"AGCO Corporation","AGCO","20180206","9","613684.5","1.11","5895.38","YES","","3"
"Agios Pharmaceuticals, Inc.","AGIO","20180215","5","421949.66","-1.65","3661.91","YES","8.48","3"
"Allergan PLC.","AGN","20180206","20","2344286","4.73","58551.24","YES",".42","4"
"AGNC Investment Corp.","AGNC","20180131","4","3461684.75",".62","7665.49","YES","","3"
"Avangrid, Inc.","AGR","20180220","4","443415.31",".61","14992.92","YES","","4"
"Agile Therapeutics, Inc.","AGRX","20180314","5","1171642.25","-.24","112.13","YES","0",""
"Applied Genetic Technologies Corporation","AGTC","20180214","3","117673.15","-.09","75.99","YES","","4"
"Armada Hoffler Properties, Inc.","AHH","20180206","7","355959.34",".24","645.74","YES","","3"
"Ashford Hospitality Prime, Inc.","AHP","20180208","3","307155.81",".3","309","YES","","3"
"Ashford Hospitality Trust Inc","AHT","20180301","4","506520.19",".21","651.71","YES","","4"
"American International Group, Inc.","AIG","20180208","6","4369540.5",".9","54809.53","YES","1.11","3"
"Aimmune Therapeutics, Inc.","AIMT","20180321","5","364163.19","-.7","2005.57","YES","2.86","4"
"Apollo Investment Corporation","AINV","20180207","6","1311882.25",".16","1266.97","YES","","3"
"AAR Corp.","AIR","20180320","3","303248.94",".37","1449.24","YES","0","3"
"Airgain, Inc.","AIRG","20180215","4","65080.6",".05","88.79","YES","","4"
"Applied Industrial Technologies, Inc.","AIT","20180125","3","226139.09",".71","2724.81","YES","","2"
"Apartment Investment and Management Company","AIV","20180201","7","876381.38",".63","6378.27","YES","1.59","4"
"Arthur J. Gallagher & Co.","AJG","20180125","9","994415.88",".75","11549.44","YES","-2.67","2"
"Aerojet Rocketdyne Holdings, Inc.","AJRD","20180307","3","594109.31",".3","2388.93","YES","","1"
"Great Ajax Corp.","AJX","20180307","3","38492.95",".42","251.7","NO","","3"
"Akamai Technologies, Inc.","AKAM","20180206","14","3131964.75",".63","11082.84","YES","","3"
"Achaogen, Inc.","AKAO","20180313","7","1201218.5","-.79","506.18","YES","","3"
"Akcea Therapeutics, Inc.","AKCA","20180205","3","333518.69","-.2","1131.21","YES","","3"
"Acadia Realty Trust","AKR","20180221","4","566697.06",".33","2125.3","YES","0","5"
